fav_count,q_total,q_next_in28days_count,q_next_after29days_count,q_no_repeat_count,q_retention_28days,q_retention_after29days,no_repeat_rate
28,9136,5597,2673,866,0.61263134851138357,0.2925788091068301,0.094789842381786338
29,8503,5217,2548,738,0.61354815947312713,0.2996589439021522,0.086792896624720686
30,7725,4572,2447,706,0.59184466019417481,0.31676375404530743,0.0913915857605178
31,7429,4560,2208,661,0.61381074168797956,0.29721362229102166,0.088975636020998783
32,6861,4215,2056,590,0.61434193266287718,0.29966477189914009,0.0859932954379828
33,6395,3981,1914,500,0.62251759186864741,0.29929632525410477,0.078186082877247848
34,6002,3720,1787,495,0.61979340219926693,0.297734088637121,0.082472509163612123
35,5741,3572,1666,503,0.62219125587876678,0.29019334610695,0.087615398014283224
36,5149,3177,1518,454,0.61701301223538552,0.29481452709263933,0.088172460671975136
37,5106,3221,1469,416,0.63082647865256558,0.28770074422248337,0.081472777124951032
38,4772,2926,1462,384,0.61316010058675607,0.30637049455155069,0.080469404861693211
39,4597,2895,1346,356,0.62975853817707206,0.29279965194692192,0.077441809876006087
40,4233,2594,1282,357,0.61280415780770137,0.30285849279470822,0.084337349397590355
41,4051,2557,1133,361,0.631202172303135,0.27968402863490494,0.089113799061960014
42,3853,2422,1085,346,0.62860109005969378,0.28159875421749286,0.0898001557228134
43,3700,2327,1069,304,0.62891891891891893,0.28891891891891891,0.082162162162162156
44,3526,2209,1018,299,0.62648893930799776,0.288712422007941,0.084798638684061262
45,3272,2080,912,280,0.63569682151589246,0.27872860635696822,0.08557457212713937
46,3251,2032,975,244,0.62503844970778222,0.29990772070132266,0.075053829590895113
47,3124,2049,842,233,0.65588988476312415,0.26952624839948786,0.074583866837387963
48,2844,1772,852,220,0.62306610407876228,0.29957805907172996,0.077355836849507739
49,2693,1709,771,213,0.6346082435945043,0.28629780913479391,0.07909394727070182
50,2654,1681,747,226,0.63338357196684247,0.28146194423511678,0.085154483798040692
